종목코드,종목명,종가,시가총액,DIV,PER,PBR
039490,키움증권,130900,3433075815400,2.29,8.41,0.73
016360,삼성증권,37500,3348750000000,5.87,6.12,0.51
035250,강원랜드,15300,3273289650000,6.08,9.1,0.84
018880,한온시스템,5870,3133406000000,5.38,61.15,1.32
010620,HD현대미포,73200,2923765306800,0.0,0.0,1.48
298040,효성중공업,307000,2862636236000,0.81,24.65,2.65
004990,롯데지주,27000,2832549399000,5.56,0.0,0.28
002790,아모레퍼시픽홀딩스,33600,2770594848000,0.73,25.93,0.91
000120,CJ대한통운,120600,2751168686400,0.41,11.64,0.67
001450,현대해상,30500,2726700000000,6.76,4.01,0.39
138930,BNK금융지주,8370,2695880226060,6.09,4.39,0.26
383220,F&F,70000,2681495250000,2.43,6.28,2.07
175330,JB금융지주,13190,2573147381620,6.48,4.54,0.5
007660,이수페타시스,40400,2555155327600,0.25,53.51,9.58
036460,한국가스공사,27350,2524760550000,0.0,0.0,0.24
001440,대한전선,13490,2515174077000,0.0,25.99,1.96
052690,한전기술,65800,2514876000000,0.78,76.69,4.57
088350,한화생명,2895,2514394350000,5.18,3.03,0.17
081660,미스토홀딩스,40450,2457427379900,2.69,57.05,1.27
004370,농심,404000,2457387368000,1.24,13.59,0.96
000150,두산,146100,2414132293500,1.37,0.0,1.6
008930,한미사이언스,33900,2371540266000,0.59,20.01,2.92
282330,BGF리테일,133100,2300487888600,3.08,11.74,2.14
012750,에스원,60200,2287550515600,4.49,10.74,1.27
003230,삼양식품,302500,2278737037500,0.69,17.87,3.99
008770,호텔신라,57500,2256766957500,0.35,25.33,3.58
073240,금호타이어,7830,2249248047210,0.0,14.26,1.78
028670,팬오션,4135,2210444932120,2.06,9.03,0.47
278470,에이피알,289000,2202231442000,0.0,25.7,10.68
002380,KCC,247500,2199401572500,3.23,8.56,0.35
030000,제일기획,18970,2182332038250,5.85,10.26,1.49
112610,씨에스윈드,51500,2171827254500,0.97,107.29,2.38
014680,한솔케미칼,190500,2159354647500,1.1,19.67,2.45
020150,롯데에너지머티리얼즈,45200,2084209742000,0.44,0.0,1.45
007070,GS리테일,19890,2082839468580,2.51,114.97,0.51
051915,LG화학우,265500,2041376400000,1.34,0.0,0.0
000880,한화,27200,2038877592000,2.76,6.94,0.24
103140,풍산,72700,2037365010600,1.65,12.69,1.01
023530,롯데쇼핑,69700,1971726223500,5.45,12.03,0.21
000990,DB하이텍,42650,1893599778200,1.36,6.83,1.02
026960,동서,18770,1871369000000,4.16,12.79,1.15
009420,한올바이오파마,35650,1862378744700,0.0,516.67,9.71
010060,OCI홀딩스,94800,1858673637600,3.48,2.59,0.5
204320,HL만도,39500,1854806240000,1.52,13.67,0.83
457190,이수스페셜티케미컬,61000,1842705080000,0.0,0.0,17.81
139480,이마트,63000,1756176597000,3.17,0.0,0.15
006040,동원산업,37550,1745424070750,2.93,6.02,0.5
012510,더존비즈온,57400,1743971801600,0.38,53.05,3.85
007310,오뚜기,426500,1709339495000,2.11,9.15,0.76
111770,영원무역,38300,1697129224400,3.39,3.26,0.52
298050,HS효성첨단소재,371500,1664300682000,1.75,46.69,2.45
042670,HD현대인프라코어,8270,1650720556310,1.33,7.14,0.91
004170,신세계,165100,1625439383100,2.42,7.0,0.37
011210,현대위아,58900,1601790388700,1.44,17.16,0.46
051600,한전KPS,35400,1593000000000,6.1,9.79,1.25
047040,대우건설,3805,1581444137590,0.0,3.06,0.39
298020,효성티앤씨,364000,1575276248000,2.75,16.86,1.23
192820,코스맥스,138400,1570772045600,0.36,27.48,4.33
017800,현대엘리베이터,40100,1567604638500,9.98,4.7,1.13
005850,에스엘,33550,1558347846000,2.68,4.61,0.8
000240,한국앤컴퍼니,16310,1548393764400,4.29,8.26,0.38
018670,SK가스,161300,1488838357200,4.96,4.58,0.56
000080,하이트진로,21050,1476312511550,4.51,41.11,1.34
004490,세방전지,104000,1456000000000,0.67,11.7,1.05
145720,덴티움,129600,1434520368000,0.31,11.58,2.41
375500,DL이앤씨,36700,1420055964100,1.36,7.84,0.31
139130,iM금융지주,8360,1414059163880,6.58,3.83,0.23
006360,GS건설,16150,1382141063500,0.0,0.0,0.32
185750,종근당,103500,1363552470000,1.06,6.49,1.61
002710,TCC스틸,52000,1363112244000,0.15,0.0,5.9
006280,녹십자,115700,1352132446600,1.3,0.0,1.02
003690,코리안리,8090,1337823285340,6.67,4.89,0.37
336260,두산퓨얼셀,20300,1329522637800,0.0,0.0,3.24
248070,솔루엠,26250,1312645713750,0.0,10.65,3.2
137310,에스디바이오센서,10490,1305767432970,0.0,0.0,0.45
280360,롯데웰푸드,137800,1300084297200,2.18,17.27,0.59
069620,대웅제약,111700,1294220427500,0.54,10.48,1.68
004800,효성,60000,1264261500000,5.0,20000.0,0.48
009240,한샘,53700,1263771933600,8.38,0.0,2.6
014820,동원시스템즈,42200,1223432100400,1.42,19.23,1.6
005420,코스모화학,31550,1211779593400,0.0,0.0,4.11
069960,현대백화점,51500,1205225711500,2.52,0.0,0.25
000210,DL,57500,1204963330000,1.74,0.0,0.34
108320,LX세미콘,73800,1200305340000,2.44,11.86,1.23
336370,솔루스첨단소재,16940,1189481807360,0.59,8.21,2.1
003620,KG모빌리티,6090,1188425985600,0.0,126.88,1.05
005300,롯데칠성,127800,1185841375200,2.66,7.75,0.88
004000,롯데정밀화학,45550,1175190000000,4.39,6.37,0.49
009970,영원무역홀딩스,85800,1169933793600,4.63,2.68,0.42
353200,대덕전자,23600,1166239430000,1.27,47.97,1.4
161890,한국콜마,49400,1166090803800,1.21,217.62,1.74
294870,IPARK현대산업개발,17640,1162605301200,3.97,6.59,0.38
006110,삼아알미늄,78500,1154885406000,0.13,334.04,4.53
395400,SK리츠,4180,1129154598220,,,
001740,SK네트웍스,5020,1110815068040,3.98,0.0,0.47
003090,대웅,19030,1106441879400,0.53,5.15,0.83
001720,신영증권,67300,1106412000000,5.94,5.66,0.36
